X_Coordinate,Y_Coordinate,GlacierName,GlacierID
-215675,-2254175,Alison Glacer,A
-215675,-2254925,Alison Glacer,A
-215675,-2258675,Alison Glacer,A
-215675,-2259425,Alison Glacer,A
-215675,-2261675,Alison Glacer,A
-215675,-2262425,Alison Glacer,A
-215675,-2264675,Alison Glacer,A
-215675,-2265425,Alison Glacer,A
-215675,-2268425,Alison Glacer,A
-215675,-2269175,Alison Glacer,A
-215675,-2269925,Alison Glacer,A
-215675,-2270675,Alison Glacer,A
-215675,-2271425,Alison Glacer,A
-215675,-2272175,Alison Glacer,A
-215675,-2272925,Alison Glacer,A
-215675,-2273675,Alison Glacer,A
-215675,-2274425,Alison Glacer,A
-215675,-2275175,Alison Glacer,A
-215675,-2284175,Alison Glacer,A
-215675,-2284925,Alison Glacer,A
-215675,-2285675,Alison Glacer,A
-215675,-2286425,Alison Glacer,A
-215675,-2287175,Alison Glacer,A
-215675,-2287925,Alison Glacer,A
-215675,-2288675,Alison Glacer,A
-215675,-2289425,Alison Glacer,A
